block_id,type,intensity,r_mean,ks_gue,ks_poi,ks_margin,vote
poisson_90000_0025,poisson,raw,0.381265,0.403141,0.058103,-0.345038,POISSON
poisson_90000_0029,poisson,raw,0.343307,0.447802,0.103015,-0.344786,POISSON
poisson_90000_0029,poisson,soft,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0029,poisson,mid,0.294546,0.538254,0.193467,-0.344786,POISSON
poisson_90000_0049,poisson,raw,0.35043,0.419221,0.074686,-0.344535,POISSON
gue_80000_0021,gue,raw,0.60579,0.046294,0.390013,0.343719,GUE
poisson_90000_0009,poisson,raw,0.366704,0.409045,0.065389,-0.343656,POISSON
poisson_90000_0010,poisson,soft,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0010,poisson,mid,0.33863,0.458668,0.115578,-0.34309,POISSON
poisson_90000_0018,poisson,raw,0.34461,0.445226,0.102136,-0.34309,POISSON
poisson_90000_0018,poisson,soft,0.308673,0.529523,0.186997,-0.342525,POISSON
poisson_90000_0018,poisson,mid,0.308673,0.529523,0.186997,-0.342525,POISSON
zeta_42_0024,zeta,raw,0.613748,0.054837,0.397299,0.342462,GUE
zeta_42_0008,zeta,strong,0.628239,0.155528,0.497864,0.342337,GUE
zeta_42_0007,zeta,strong,0.618077,0.143153,0.485427,0.342274,GUE
gue_80000_0037,gue,strong,0.585275,0.156784,0.498869,0.342085,GUE
zeta_42_0024,zeta,soft,0.605954,0.111809,0.453832,0.342023,GUE
zeta_42_0024,zeta,mid,0.605954,0.111809,0.453832,0.342023,GUE
zeta_42_0008,zeta,soft,0.622396,0.11005,0.451445,0.341394,GUE
zeta_42_0008,zeta,mid,0.622396,0.11005,0.451445,0.341394,GUE
